NA	Smoky_Burgess	2008
NA	Smoky_Burgess	2009
NA	Smoky_Burgess	2010
NA	Smoky_Burgess	2011
NA	Smoky_Burgess	2012
NA	Smoky_Burgess	2013
NA	Gabby_Hartnett	2001
NA	Gabby_Hartnett	2002
NA	Gabby_Hartnett	2003
NA	Gabby_Hartnett	2004
NA	Gabby_Hartnett	2005
NA	Gabby_Hartnett	2006
NA	Gabby_Hartnett	2007
NA	Gabby_Hartnett	2008
NA	Gabby_Hartnett	2009
NA	Gabby_Hartnett	2010
NA	Gabby_Hartnett	2011
NA	Gabby_Hartnett	2012
NA	Gabby_Hartnett	2013
NA	Jerry_Green_(writer)	2001
NA	Jerry_Green_(writer)	2002
NA	Jerry_Green_(writer)	2003
NA	Jerry_Green_(writer)	2004
NA	Jerry_Green_(writer)	2005
NA	Jerry_Green_(writer)	2006
NA	Jerry_Green_(writer)	2007
NA	Jerry_Green_(writer)	2008
NA	Jerry_Green_(writer)	2009
NA	Jerry_Green_(writer)	2010
NA	Jerry_Green_(writer)	2011
NA	Jerry_Green_(writer)	2012
NA	Jerry_Green_(writer)	2013
NA	Cy_Young_Award	2001
NA	Cy_Young_Award	2002
NA	Cy_Young_Award	2003
NA	Cy_Young_Award	2004
NA	Cy_Young_Award	2005
NA	Cy_Young_Award	2006
NA	Cy_Young_Award	2007
NA	Cy_Young_Award	2008
NA	Cy_Young_Award	2009
NA	Cy_Young_Award	2010
NA	Cy_Young_Award	2011
NA	Cy_Young_Award	2012
NA	Cy_Young_Award	2013
NA	Earl_Lawson_(sportswriter)	2001
NA	Earl_Lawson_(sportswriter)	2002
NA	Earl_Lawson_(sportswriter)	2003
NA	Earl_Lawson_(sportswriter)	2004
NA	Earl_Lawson_(sportswriter)	2005
NA	Earl_Lawson_(sportswriter)	2006
NA	Earl_Lawson_(sportswriter)	2007
NA	Earl_Lawson_(sportswriter)	2008
NA	Earl_Lawson_(sportswriter)	2009
NA	Earl_Lawson_(sportswriter)	2010
NA	Earl_Lawson_(sportswriter)	2011
NA	Earl_Lawson_(sportswriter)	2012
NA	Earl_Lawson_(sportswriter)	2013
NA	Rick_Reuschel	2001
NA	Rick_Reuschel	2002
NA	Rick_Reuschel	2003
NA	Rick_Reuschel	2004
NA	Rick_Reuschel	2005
NA	Rick_Reuschel	2006
NA	Rick_Reuschel	2007
NA	Rick_Reuschel	2008
NA	Rick_Reuschel	2009
NA	Rick_Reuschel	2010
NA	Rick_Reuschel	2011
NA	Rick_Reuschel	2012
NA	Rick_Reuschel	2013
NA	Hack_Wilson	2001
NA	Hack_Wilson	2002
NA	Hack_Wilson	2003
NA	Hack_Wilson	2004
NA	Hack_Wilson	2005
NA	Hack_Wilson	2006
NA	Hack_Wilson	2007
NA	Hack_Wilson	2008
NA	Hack_Wilson	2009
NA	Hack_Wilson	2010
NA	Hack_Wilson	2011
NA	Hack_Wilson	2012
NA	Hack_Wilson	2013
NA	Manny_Trillo	2001
NA	Manny_Trillo	2002
NA	Manny_Trillo	2003
NA	Manny_Trillo	2004
NA	Manny_Trillo	2005
NA	Manny_Trillo	2006
NA	Manny_Trillo	2007
NA	Manny_Trillo	2008
NA	Manny_Trillo	2009
NA	Manny_Trillo	2010
NA	Manny_Trillo	2011
NA	Manny_Trillo	2012
NA	Manny_Trillo	2013
NA	Charley_Feeney	2001
NA	Charley_Feeney	2002
NA	Charley_Feeney	2003
NA	Charley_Feeney	2004
NA	Charley_Feeney	2005
NA	Charley_Feeney	2006
NA	Charley_Feeney	2007
NA	Charley_Feeney	2008
NA	Charley_Feeney	2009
NA	Charley_Feeney	2010
NA	Charley_Feeney	2011
NA	Charley_Feeney	2012
NA	Charley_Feeney	2013
NA	Baseball	2001
NA	Baseball	2002
NA	Baseball	2003
NA	Baseball	2004
NA	Baseball	2005
NA	Baseball	2006
NA	Baseball	2007
NA	Baseball	2008
NA	Baseball	2009
NA	Baseball	2010
NA	Baseball	2011
NA	Baseball	2012
NA	Baseball	2013
NA	Baseball_Almanac	2001
NA	Baseball_Almanac	2002
NA	Baseball_Almanac	2003
NA	Baseball_Almanac	2004
NA	Baseball_Almanac	2005
NA	Baseball_Almanac	2006
NA	Baseball_Almanac	2007
NA	Baseball_Almanac	2008
NA	Baseball_Almanac	2009
NA	Baseball_Almanac	2010
NA	Baseball_Almanac	2011
NA	Baseball_Almanac	2012
NA	Baseball_Almanac	2013
NA	Jim_Hegan	2001
NA	Jim_Hegan	2002
NA	Jim_Hegan	2003
NA	Jim_Hegan	2004
NA	Jim_Hegan	2005
NA	Jim_Hegan	2006
NA	Jim_Hegan	2007
NA	Jim_Hegan	2008
NA	Jim_Hegan	2009
NA	Jim_Hegan	2010
NA	Jim_Hegan	2011
NA	Jim_Hegan	2012
NA	Jim_Hegan	2013
NA	Vic_Davalillo	2001
NA	Vic_Davalillo	2002
NA	Vic_Davalillo	2003
NA	Vic_Davalillo	2004
NA	Vic_Davalillo	2005
NA	Vic_Davalillo	2006
NA	Vic_Davalillo	2007
NA	Vic_Davalillo	2008
NA	Vic_Davalillo	2009
NA	Vic_Davalillo	2010
NA	Vic_Davalillo	2011
NA	Vic_Davalillo	2012
NA	Vic_Davalillo	2013
NA	Bob_Boone	2001
NA	Bob_Boone	2002
NA	Bob_Boone	2003
NA	Bob_Boone	2004
NA	Bob_Boone	2005
NA	Bob_Boone	2006
NA	Bob_Boone	2007
NA	Bob_Boone	2008
NA	Bob_Boone	2009
NA	Bob_Boone	2010
NA	Bob_Boone	2011
NA	Bob_Boone	2012
NA	Bob_Boone	2013
NA	Ozzie_Guill%C3%A9n	2001
NA	Ozzie_Guill%C3%A9n	2002
NA	Ozzie_Guill%C3%A9n	2003
NA	Ozzie_Guill%C3%A9n	2004
NA	Ozzie_Guill%C3%A9n	2005
NA	Ozzie_Guill%C3%A9n	2006
NA	Ozzie_Guill%C3%A9n	2007
NA	Ozzie_Guill%C3%A9n	2008
NA	Ozzie_Guill%C3%A9n	2009
NA	Ozzie_Guill%C3%A9n	2010
NA	Ozzie_Guill%C3%A9n	2011
NA	Ozzie_Guill%C3%A9n	2012
NA	Ozzie_Guill%C3%A9n	2013
NA	Eddie_Yost	2001
NA	Eddie_Yost	2002
NA	Eddie_Yost	2003
NA	Eddie_Yost	2004
NA	Eddie_Yost	2005
NA	Eddie_Yost	2006
NA	Eddie_Yost	2007
NA	Eddie_Yost	2008
NA	Eddie_Yost	2009
NA	Eddie_Yost	2010
