11.742	11.742	12.645	10.548	12.323	15.032	15.774	12.710	15.065	15.903	12.903	14.645	Jack_Aker	2012
14.903	12.452	11.516	12.839	12.484	12.129	9.387	8.548	7.710	7.452	5.258	7.548	Jack_Aker	2013
0	0	0	0	0	0	0	0	0	0	0	0	Doyle_Alexander	2005
0	0	0	0	0	0	0	0	0	0	0	0	Doyle_Alexander	2006
0	0	0	0	0	0	0	0	0	0	0	16.773	Doyle_Alexander	2007
13.967	14.032	15.774	26.548	21.742	26.097	24.545	24.032	25.226	17.548	12.516	15.774	Doyle_Alexander	2008
26.581	16.548	18.968	24.871	26.645	31.516	39.581	45.258	22.667	21.742	16.194	15.032	Doyle_Alexander	2009
18.774	21.806	23.258	27.742	28.065	19.742	31.323	35.258	23.581	29.613	18.677	20.419	Doyle_Alexander	2010
16.613	17.355	17.419	21.484	26.871	25.355	40.839	30.742	31.742	29.161	17.677	16.774	Doyle_Alexander	2011
21.355	19.581	17.645	27.677	28.065	33.161	40.516	38.194	24.000	39.097	21.774	27.903	Doyle_Alexander	2012
29.355	19.323	20.742	24.258	22.774	32.968	26.355	26.194	18.290	20.387	12.774	15.903	Doyle_Alexander	2013
0	0	0	0	0	0	0	0	0	0	0	0	Bernie_Allen	2005
0	0	0	0	0	0	0	0	0	0	0	0	Bernie_Allen	2006
0	0	0	0	0	0	0	0	0	0	0	8.955	Bernie_Allen	2007
10.533	8.226	7.097	9.097	8.968	9.613	11.364	9.774	9.323	8.194	6.581	9.645	Bernie_Allen	2008
11.484	8.774	11.161	10.548	9.161	10.323	11.419	9.548	8.900	10.032	8.613	8.419	Bernie_Allen	2009
7.161	8.000	12.613	12.097	10.742	8.968	8.194	12.161	10.387	12.032	9.355	11.161	Bernie_Allen	2010
9.806	8.387	7.581	8.581	11.935	10.323	9.903	9.968	8.000	11.839	11.161	10.194	Bernie_Allen	2011
12.806	11.452	13.097	13.387	12.419	12.645	14.355	12.161	12.258	12.226	10.806	12.194	Bernie_Allen	2012
11.548	11.903	9.710	11.871	14.548	12.774	9.903	9.419	7.677	8.774	6.484	11.516	Bernie_Allen	2013
0	0	0	0	0	0	0	0	0	0	0	0	Dick_Allen	2005
