Doyle_Alexander	2012	Trut-h-urts man	510045142	5071	657	0	0
Doyle_Alexander	2013	HangingCurve	569117919	5317	698	0	0
Bernie_Allen	2001	NA	NA	NA	0	0	0
Bernie_Allen	2002	NA	NA	NA	0	0	0
Bernie_Allen	2003	NA	NA	NA	0	0	0
Bernie_Allen	2004	NA	NA	NA	0	0	0
Bernie_Allen	2005	NA	NA	NA	0	0	0
Bernie_Allen	2006	BurmaShaver	84801398	3144	459	0	0
Bernie_Allen	2007	David Gerard	163379636	3325	487	1	0
Bernie_Allen	2008	63.231.152.231	252493197	2516	355	1	0
Bernie_Allen	2009	Cydebot	326304721	3196	409	0	0
Bernie_Allen	2010	SMasters	399323525	3514	436	0	0
Bernie_Allen	2011	Yobot	433260815	3607	445	1	0
Bernie_Allen	2012	Kithira	503320895	3666	449	1	0
Bernie_Allen	2013	WilliamJE	559409299	3658	448	1	0
Dick_Allen	2001	NA	NA	NA	0	0	0
Dick_Allen	2002	NA	NA	NA	0	0	0
Dick_Allen	2003	NA	NA	NA	0	0	0
Dick_Allen	2004	MusiCitizen	9819287	16414	2257	0	0
Dick_Allen	2005	Tabor	29526950	8758	1328	0	0
Dick_Allen	2006	MrHaroldG2000	90953597	15077	2285	1	0
Dick_Allen	2007	Mynameisphil	168538780	16967	2586	1	0
Dick_Allen	2008	Swipeys	254827376	18984	2898	1	0
Dick_Allen	2009	153.91.37.25	328712377	24827	3731	0	0
Dick_Allen	2010	SMasters	399363263	25944	3862	0	0
Dick_Allen	2011	75.104.192.36	457368453	27377	4037	0	1
Dick_Allen	2012	Yankees10	522877081	27576	4052	0	1
Dick_Allen	2013	Good Olfactory	580520645	27174	3964	0	1
Gene_Alley	2001	NA	NA	NA	0	0	0
Gene_Alley	2002	NA	NA	NA	0	0	0
Gene_Alley	2003	NA	NA	NA	0	0	0
Gene_Alley	2004	MusiCitizen	13330273	5198	842	0	0
Gene_Alley	2005	Djrobgordon	16531437	5198	842	0	0
Gene_Alley	2006	Cabel	72350322	5440	865	0	0
Gene_Alley	2007	SmackBot	164266278	2381	282	0	0
Gene_Alley	2008	Lightbot	237613567	2328	281	0	0
Gene_Alley	2009	Factdoc	315764040	2450	293	0	0
Gene_Alley	2010	SMasters	399387460	3115	408	0	0
Gene_Alley	2011	Yobot	433225032	3115	408	0	0
Gene_Alley	2012	Waacstats	480013939	3140	411	0	0
Gene_Alley	2013	Secret	551672925	3140	411	0	0
Roberto_Alomar	2001	NA	NA	NA	0	0	0
Roberto_Alomar	2002	NA	NA	NA	0	0	0
Roberto_Alomar	2003	NA	NA	NA	0	0	0
Roberto_Alomar	2004	MusiCitizen	8457404	6913	974	0	0
Roberto_Alomar	2005	70.29.2.96	29028887	9168	1322	3	0
Roberto_Alomar	2006	Jack and Mannequin	88822467	11169	1593	0	0
Roberto_Alomar	2007	Leonel-Favela	171143021	11408	1594	0	0
Roberto_Alomar	2008	24.166.127.104	253098296	12256	1759	1	0
Roberto_Alomar	2009	Barek	328886344	16425	2173	1	0
Roberto_Alomar	2010	75.40.19.162	398919559	19105	2412	1	0
Roberto_Alomar	2011	Jmundo	463115210	21713	2746	3	0
Roberto_Alomar	2012	209.141.172.41	524257369	22424	2853	3	0
Roberto_Alomar	2013	Blackjays1	581294751	25307	3184	5	0
Sandy_Alomar,_Jr.	2001	NA	NA	NA	0	0	0
Sandy_Alomar,_Jr.	2002	NA	NA	NA	0	0	0
Sandy_Alomar,_Jr.	2003	NA	NA	NA	0	0	0
Sandy_Alomar,_Jr.	2004	MusiCitizen	10296902	3352	486	0	0
Sandy_Alomar,_Jr.	2005	RussBot	23616786	3388	490	0	0
Sandy_Alomar,_Jr.	2006	MrHaroldG2000	91102727	5674	751	1	0
Sandy_Alomar,_Jr.	2007	Caknuck	174638501	5609	728	1	0
Sandy_Alomar,_Jr.	2008	Yankees10	245890066	6563	836	1	0
Sandy_Alomar,_Jr.	2009	128.151.85.175	327378889	8305	1051	1	0
Sandy_Alomar,_Jr.	2010	208.108.102.9	399725617	9351	1190	1	0
Sandy_Alomar,_Jr.	2011	Yankees10	460819918	9929	1256	1	0
Sandy_Alomar,_Jr.	2012	184.57.45.146	523783487	10815	1322	2	0
Sandy_Alomar,_Jr.	2013	EurekaLott	575661785	10511	1262	2	0
Felipe_Alou	2001	NA	NA	NA	0	0	0
Felipe_Alou	2002	NA	NA	NA	0	0	0
Felipe_Alou	2003	NA	NA	NA	0	0	0
Felipe_Alou	2004	MisfitToys	8728844	12987	1943	0	0
Felipe_Alou	2005	84.94.193.173	29166976	13852	2066	0	0
Felipe_Alou	2006	ESkog	86488913	16888	2460	0	0
Felipe_Alou	2007	151.151.21.102	169974189	9540	1303	1	0
Felipe_Alou	2008	Levineps	247623844	10837	1480	1	0
Felipe_Alou	2009	173.29.9.79	325576406	12827	1719	1	0
Felipe_Alou	2010	SMasters	399379965	13017	1760	1	0
